
Lfd.Nr.;Gewinn Losnummer;Sponsor Anrede;Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail; Bar Spende ? ;reine Sachspende;Gewinn;Wert Spende ?;akquisiert durch wen;Lagerort Gewinn;Erfasst von:;Gewinner Anrede;Gewinner Name;Gewinner Strasse;Gewinner PLZ und Ort;ausgeliefert am;ausgeh?ndigt von;Sponsorenquittung 
405;7619;Johannes P?tz;LebensLust und GenussMittel;Gierather Str. 247;51469 Bergisch Gladbach;info@johannespuetz.de;;;Gutschein;50,00;Martina Uedelhoven;wird verschickt;Martina;;;;;;;
406;1802;Frau ;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
407;4860;Frau;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
408;9893;Frau;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
409;4336;Frau;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
410;1075;Frau;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
411;1771;Frau;Silvia Patt Einrichtungshaus Patt;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Pr?sente;;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
412;2656;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
413;9235;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
414;8228;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
415;1617;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
416;5353;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
417;10;Frau Marx;Buchhandlung Zeilenreich;K?lner Str. 19;51429 Bergisch Gladbach;;;;Pr?sente;38,00;Anna ;Im Gesch?ft;Manuela Rex-Eberle;;;;;;;
