Lfd.Nr.;Gewinn;"Sponsor Anrede";Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail;" Bar Spende â‚¬ ";reine Sachspende;Gewinn;"Wert Spende â‚¬";"akquisiert durch wen";Lagerort Gewinn;Erfasst von:
388;1303;;Pusteblume Refrath;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
389;806;;Pusteblume Refrath;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
390;330;;Pusteblume Refrath;Wingertsheide 33;51427 Bergisch Gladbach;Pusteblume-Barion@web.de;;;Gutschein;10,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
391;1773;;Roehrig Schuhe Refrath;Siebenmorgen 28;51427 Bergisch Gladbach;info@rÃ¶hrig-schuhe.de;;;Gutschein;15,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
392;1488;;Roehrig Schuhe Refrath;Siebenmorgen 28;51427 Bergisch Gladbach;info@rÃ¶hrig-schuhe.de;;;Gutschein;15,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
393;2321;;Roehrig Schuhe Refrath;Siebenmorgen 28;51427 Bergisch Gladbach;info@rÃ¶hrig-schuhe.de;;;Gutschein;15,00;Elke DÃ¶rrenhaus/ Ulla Freund;im GeschÃ¤ft;Martina
394;2250;BÃ¤rbel Maassen;Jacques Weindepot Roesrath;Hauptstr.17;51503 RÃ¶srath;roesrath@jacques.de;;;Gutschein fÃ¼r 3 Flaschen Wein;30,00;Gudrun SÃ¤uberlich-Spannagel;im GeschÃ¤ft;Martina
395;2795;BÃ¤rbel Maassen;Jacques Weindepot Roesrath;Hauptstr.17;51503 RÃ¶srath;roesrath@jacques.de;;;Gutschein fÃ¼r 2 Flaschen Wein;20,00;Gudrun SÃ¤uberlich-Spannagel;im GeschÃ¤ft;Martina
396;2137;BÃ¤rbel Maassen;Jacques Weindepot Roesrath;Hauptstr.17;51503 RÃ¶srath;roesrath@jacques.de;;;Gutschein fÃ¼r 1 Flasche Wein;10,00;Gudrun SÃ¤uberlich-Spannagel;im GeschÃ¤ft;Martina
397;521;Frau Marx;Pafuemerie Becker Roesrath;Hauptstr.59;51503 RÃ¶srath;shop@parfÃ¼merie-becker.de;;;Gutschein;10,00;Gudrun SÃ¤uberlich-Spannagel;Anna;Martina
398;249;Frau Marx;Pafuemerie Becker Roesrath;Hauptstr.59;51503 RÃ¶srath;shop@parfÃ¼merie-becker.de;;;Gutschein;10,00;Gudrun SÃ¤uberlich-Spannagel;Anna;Martina
399;3030;Frau Marx;Pafuemerie Becker Roesrath;Hauptstr.59;51503 RÃ¶srath;shop@parfÃ¼merie-becker.de;;;Gutschein;10,00;Gudrun SÃ¤uberlich-Spannagel;Anna;Martina
400;3350;Innessa Gaisinskaia;FachfuÃŸpflege  "Glueck um die Ecke" Roesrath;Hauptstr. 234A;51503 RÃ¶srath;02205-8918360;;;Gutschein FuÃŸpflege;45,00;Gudrun SÃ¤uberlich-Spannagel;Anna;Martina
401;708;Agim Veliu;Restaurant Zalero Bensberg;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
402;3491;Agim Veliu;Restaurant Zalero Bensberg;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
403;3224;Agim Veliu;Restaurant Zalero Bensberg;Engelbertstr. 2-4;51429 Bergisch Gladbach;02204-9131143;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
404;2861;Marcus Kramer;Physiotherapie Kramer Bergisch Gladbach;Helene-StÃ¶cker-Str.8;51429 Bergisch Gladbach;info@physio-gladbach.de;;;Gutschein Massage +Fango 30 Min;60,00;Martina Uedelhoven;in der Praxis;Martina
405;3274;Marcus Kramer;Physiotherapie Kramer Bergisch Gladbach;Helene-StÃ¶cker-Str.8;51429 Bergisch Gladbach;info@physio-gladbach.de;;;Gutschein Massage +Fango 30 Min;60,00;Martina Uedelhoven;in der Praxis;Martina
406;2061;Johannes PÃ¼tz;LebensLust und GenussMittel Wochenmarkt;Gierather Str. 247;51469 Bergisch Gladbach;info@johannespuetz.de;;;Gutschein;50,00;Martina Uedelhoven;wird verschickt;Martina
407;561;Johannes PÃ¼tz;LebensLust und GenussMittel Wochenmarkt;Gierather Str. 247;51469 Bergisch Gladbach;info@johannespuetz.de;;;Gutschein;50,00;Martina Uedelhoven;wird verschickt;Martina
408;1611;Frau ;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
409;3217;Frau;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
410;2573;Frau;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
411;3029;Frau;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
412;3858;Frau;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
413;2463;Frau;Silvia Patt Einrichtungshaus Patt Bensberg;Falltorstr. 2-6;51429 Bergisch Gladbach;;;;Praesente;Ueberraschung;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
414;1932;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
415;2437;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
416;734;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
417;3289;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
418;845;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
419;1273;Frau Marx;Buchhandlung Zeilenreich Bensberg;KÃ¶lner Str. 19;51429 Bergisch Gladbach;;;;Praesente;38,00;Anna ;Im GeschÃ¤ft;Manuela Rex-Eberle
420;3768;Frau;Alessandra Lovegrove Immobilien Overath ;Hauptstrasse 45;51491 Overath;;;;Gutschein Einkaufen in Overath;25,00;Manuela Rex-Eberle;Manuela Rex-Eberle;Manuela Rex-Eberle
421;755;Frau;Alessandra Lovegrove Immobilien Overath ;Hauptstrasse 45;51491 Overath;;;;Gutschein Einkaufen in Overath;25,00;Manuela Rex-Eberle;Manuela Rex-Eberle;Manuela Rex-Eberle
422;2269;Herr ;Buchhandlung Buecken Overath;Hauptstrasse 57a;51491 Overath;;;;Gutschein;10,00;Heike Drexel;Im GeschÃ¤ft;Manuela Rex-Eberle
423;2020;Herr ;Buchhandlung Buecken Overath;Hauptstrasse 57a;51491 Overath;;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Manuela Rex-Eberle
424;2910;Herr ;Buchhandlung Buecken Overath;Hauptstrasse 57a;51491 Overath;;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Manuela Rex-Eberle
425;1741;Firma;ACC Flug Event Roesrath;MÃ¼hlenweg 15b;51503 RÃ¶srath;;;;Gutschein 30 min. Rundflug;Gutschein;Heike Drexel;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
426;3092;;Beautiful Hair Lounge Herkenrath;Ball 2;51429 Bergisch Gladbach;;;;Gutschein ;20,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
427;938;;Beautiful Hair Lounge Herkenrath;Ball 2;51429 Bergisch Gladbach;;;;Gutschein;20,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
428;3781;;Beautiful Hair Lounge Herkenrath;Ball 2;51429 Bergisch Gladbach;;;;Gutschein;20,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
429;1409;;Beautiful Hair Lounge Herkenrath;Ball 2;51429 Bergisch Gladbach;;;;Gutschein;20,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
430;1084;;Beautiful Hair Lounge Herkenrath;Ball 2;51429 Bergisch Gladbach;;;;Gutschein;20,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
431;863;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;Im GeschÃ¤ft;Andrea
432;2680;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;o2205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
433;3613;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
434;1928;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
435;1040;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
436;3653;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
437;3139;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
438;3298;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
439;1746;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;; Gutschein ;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
440;1345;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
441;439;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
442;259;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
443;1913;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
444;340;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
445;2285;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
446;244;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
447;76;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
448;3866;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
449;540;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
450;2905;Jonathan Caubat;WhatÂ´s up Jonny Manga Shop Roesrath;HauptstraÃŸe 9;51503 RÃ¶srath;02205-7299098;;;Gutschein;10,00;Heike Drexel;im GeschÃ¤ft;Andrea
451;1281;Frima;Heys Koffer Shop im KoelnBonner Flughafen;KennedystraÃŸe Term1;51147 KÃ¶ln;;;;Koffer;170,00;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
452;1423;;Deko mit Stil Herkenrath;Ball 4;51429 Bergisch Gladbach;;;;Gutschein;15,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
453;3423;;Deko mit Stil Herkenrath;Ball 4;51429 Bergisch Gladbach;;;;Gutschein;15,00;Dagmar;im GeschÃ¤ft;Manuela Rex-Eberle
454;2955;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
455;1726;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
456;2088;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
457;2945;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
458;639;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
459;1792;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
460;1833;Sibylle Haas;Sibylle Haas Die Immobiliengutachterin Bergisch Gladach;Auf dem Kamm 6;51427 Bergisch Gladbach;hallo@die-immobilien-gutachterin.de;;;Gutschein Stand Up Paddling;15,00;;wird verschickt;Clementine
461;3197;Bernd Wester;Mode Wester Roesrath;HauptstraÃŸe 33;51503 RÃ¶srath;info@wester-mode.de;;;Gutschein;10,00;Heike Drexel;wird verschickt;Andrea
462;2654;Bernd Wester;Mode Wester Roesrath;HauptstraÃŸe 33;51503 RÃ¶srath;info@wester-mode.de;;;Gutschein;10,00;Heike Drexel;wird verschickt;Andrea
463;2150;Bernd Wester;Mode Wester Roesrath;HauptstraÃŸe 33;51503 RÃ¶srath;info@wester-mode.de;;;Gutschein;10,00;Heike Drexel;wird verschickt;Andrea
464;2407;Bernd Wester;Mode Wester Roesrath;HauptstraÃŸe 33;51503 RÃ¶srath;info@wester-mode.de;;;Gutschein;10,00;Heike Drexel;wird verschickt;Andrea
465;1374;Bernd Wester;Mode Wester Roesrath;HauptstraÃŸe 33;51503 RÃ¶srath;info@wester-mode.de;;;Gutschein;10,00;Heike Drexel;wird verschickt;Andrea
466;3253;Michaela Rusch;Till Eulenspiegel Hoffnungsthal;HauptstraÃŸe 256;51503 RÃ¶srath;info@till-eulenspiegel-roesrath.de;;;Gutschein;25,00;Andrea Siebert;wird verschickt;Andrea
467;2316;Stadt Overath;Badino Overath;PropsteistraÃŸe 25;51491 Overath;badino@overath.de;;;Familienkarte 2 Erw. und 2 Kinder;13,00;Elisabeth Schwar;wird verschickt;Andrea
468;82;Stadt Overath;Badino Overath;PropsteistraÃŸe 25;51491 Overath;badino@overath.de;;;Familienkarte 1 Erw. und 3 Kinder;13,00;Elisabeth Schwar;wird verschickt;Andrea
469;1571;Stadt Overath;Badino Overath;PropsteistraÃŸe 25;51491 Overath;badino@overath.de;;;Familienkarte 2 Erw. und 2 Kinder;13,00;Elisabeth Schwar;wird verschickt;Andrea
470;3650;Stadt Overath;Badino Overath;PropsteistraÃŸe 25;51491 Overath;badino@overath.de;;;Familienkarte 1 Erw. und 3 Kinder;13,00;Elisabeth Schwar;wird verschickt;Andrea
471;803;Ursula Wintgens;Rewe Bensberg;SchloÃŸstr. 53;51429 Bergisch Gladbach;02204-5089790;;;Gutschein;50,00;Barbara Linder-Saupp;wird verschickt;Andrea
472;3716;Ursula Wintgens;Rewe Bensberg;SchloÃŸstr. 53;51429 Bergisch Gladbach;02204-5089790;;;Gutschein;50,00;Barbara Linder-Saupp;wird verschickt;Andrea
473;216;Oxana Eutener;Friseursalon Haarmonie Roesrath;HauptstraÃŸe 245;51503 RÃ¶srath;02205 2516;;;Gutschein;10,00;Andrea Siebert;wird verschickt;Andrea
474;496;Oxana Eutener;Friseursalon Haarmonie Roesrath;HauptstraÃŸe 245;51503 RÃ¶srath;02205 2516;;;Gutschein;10,00;Andrea Siebert;wird verschickt;Andrea
475;2214;Fabian Zimmermann;fresh& fair Food Lohmar;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein fresh Box 4kg;;Andrea Siebert;wird verschickt;Andrea
476;1497;Fabian Zimmermann;fresh& fair Food Lohmar;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein fresh Box 4kg;;Andrea Siebert;wird verschickt;Andrea
477;2248;Fabian Zimmermann;fresh& fair Food Lohmar;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein fresh Box 4kg;;Andrea Siebert;wird verschickt;Andrea
478;2856;Fabian Zimmermann;fresh& fair Food Lohmar;Meigerhof 1;53797 Lohmar;info@freshfairfood.de;;;Gutschein fresh Box 4kg;;Andrea Siebert;wird verschickt;Andrea
479;1576;Dominik Smolin;UNUM CORPUS Physiotherapie Overath Vilkerath;KÃ¶lner Str. 39;51491 Overath;02206-9489833;;;Massage mit Waerme;45,00;Elisabeth Schwar;im GeschÃ¤ft;Elisabeth
480;1798;Dominik Smolin;UNUM CORPUS Physiotherapie Overath Vilkerath;KÃ¶lner Str. 39;51491 Overath;02206-9489833;;;Massage mit Waerme;45,00;Elisabeth Schwar;im GeschÃ¤ft;Elisabeth
481;1834;Dominik Smolin;UNUM CORPUS Physiotherapie Overath Vilkerath;KÃ¶lner Str. 39;51491 Overath;02206-9489833;;;Massage mit Waerme;45,00;Elisabeth Schwar;im GeschÃ¤ft;Elisabeth
482;1014;Kreissparkasse KÃ¶ln;Einkaufen in Overath;Olper Str. 48;51491 Overath;;;;Gutschein Einkaufen in Overath;25,00;Elisabeth Schwar;wird zugeschickt;Elisabeth
483;2349;Michael Luedenbach;Restaurant Luedenbach Overath;Kleef 99;51491 Overath;02206-95380;;;Ueberraschungsmenue fÃ¼r 2 Personen;Gutschein;Manuela Rex-Eberle;wird zugeschickt;Elisabeth
484;3830;;TrisMar Da Nino Overath;Dr.-Ringens-StraÃŸe 15;51491 Overath;02206-9199170;;;Gutschein TrisMar Overath;25,00;;wird zugeschickt;Elisabeth
485;3176;Martin Scharrenbroich;Fleischerei Scharrenbroich Overath;Hauptstr. 68;51491 Overath;; 150,00 ;;Gutschein Kochschule;Gutschein;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
486;1394;Herr Teske;Edeka Teske Bensberg;KÃ¶lner Str. 104;51427 Bergisch Gladbach;;;;Einkaufsgutschein ;20,00;Elisabeth Schwar;wird verschickt;Elisabeth
487;3021;Herr Teske;Edeka Teske Bensberg;KÃ¶lner Str. 104;51427 Bergisch Gladbach;;;;Einkaufsgutschein ;20,00;Elisabeth Schwar;wird verschickt;Elisabeth
488;1306;Herr Teske;Edeka Teske Bensberg;KÃ¶lner Str. 104;51427 Bergisch Gladbach;;;;Einkaufsgutschein ;20,00;Elisabeth Schwar;;Elisabeth
489;2875;Markus Schumann;SCHUMANNS Champagner  KÃ¶ln;Albertusstr.26;50667 KÃ¶ln;www.schumanns-champagner.de;;;M.BRUGNON  2 Flaschen Champagner;Blanc de Blancs und Blanc de Noirs 2018;Elisabeth Schwar;abhÃ¤ngig vom Wohnort;Elisabeth
490;1656;Markus Schumann;SCHUMANNS Champagner  KÃ¶ln;Albertusstr.26;50667 KÃ¶ln;www.schumanns-champagner.de;;;M.BRUGNON  2 Flaschen Champagner;Blanc de Blancs und Blanc de Noirs 2018;Elisabeth Schwar;abhÃ¤ngig vom Wohnort;Elisabeth
491;2198;Markus Schumann;SCHUMANNS Champagner  KÃ¶ln;Albertusstr.26;50667 KÃ¶ln;www.schumanns-champagner.de;;;M.BRUGNON  2 Flaschen Champagner;Blanc de Blancs und Blanc de Noirs 2018;Elisabeth Schwar;abhÃ¤ngig vom Wohnort;Elisabeth
